Identifier,N_kw = 5,N_kw = 10,N_kw = 15
4221,2151,#N/A,#N/A
4228,607,#N/A,948
4231,2731,#N/A,#N/A
4247,#N/A,606,#N/A
4250,#N/A,2558,#N/A
4251,#N/A,#N/A,#N/A
4266,#N/A,2591,#N/A
4287,1595,#N/A,600
4318,4045,#N/A,#N/A
4327,673,3416,#N/A
4328,#N/A,#N/A,#N/A
4329,#N/A,#N/A,801
4335,#N/A,#N/A,#N/A
4337,3394,#N/A,#N/A
4339,2698,3054,#N/A
4340,#N/A,#N/A,#N/A
4342,#N/A,2083,1203
4350,3232,2317,#N/A
4355,699,459,#N/A
4360,97,1189,1276
4361,#N/A,2311,#N/A
4369,2285,1344,#N/A
4381,2645,#N/A,#N/A
4387,4769,#N/A,#N/A
4409,#N/A,#N/A,#N/A
4413,#N/A,#N/A,#N/A
4414,#N/A,#N/A,#N/A
4433,3809,#N/A,#N/A
4434,3773,965,864
4436,994,#N/A,#N/A
4441,#N/A,#N/A,#N/A
4453,3323,#N/A,#N/A
4454,1121,#N/A,871
4455,1214,140,13
4458,#N/A,#N/A,#N/A
4462,#N/A,#N/A,#N/A
4464,4576,#N/A,#N/A
4467,2199,#N/A,#N/A
4468,1145,2005,247
4469,420,284,#N/A
4472,#N/A,660,690
4473,3521,#N/A,#N/A
4477,#N/A,#N/A,#N/A
4479,966,#N/A,#N/A
4480,#N/A,2300,777
4487,#N/A,#N/A,1536
4494,4510,#N/A,699
4495,#N/A,#N/A,#N/A
4498,951,2911,#N/A
4507,2013,2372,#N/A
4512,#N/A,#N/A,#N/A
4516,#N/A,#N/A,#N/A
4517,#N/A,2035,257
4520,4760,#N/A,#N/A
4526,#N/A,#N/A,#N/A
4533,#N/A,#N/A,#N/A
4541,#N/A,#N/A,#N/A
4544,#N/A,#N/A,#N/A
4565,3832,#N/A,#N/A
4571,2148,1194,#N/A
4572,#N/A,2227,98
4573,224,1400,#N/A
4574,3448,#N/A,722
4576,2354,1565,#N/A
4581,#N/A,#N/A,#N/A
4582,#N/A,3183,#N/A
4591,3454,#N/A,#N/A
4593,3236,#N/A,#N/A
4596,#N/A,#N/A,#N/A
4597,#N/A,#N/A,#N/A
4598,3267,#N/A,#N/A
4600,#N/A,#N/A,#N/A
4601,371,2654,#N/A
4603,#N/A,#N/A,#N/A
4615,#N/A,#N/A,#N/A
4617,#N/A,#N/A,#N/A
4621,#N/A,#N/A,#N/A
4622,561,344,#N/A
4631,#N/A,#N/A,#N/A
4643,4305,#N/A,#N/A
4644,#N/A,2594,#N/A
4645,#N/A,#N/A,409
4647,#N/A,#N/A,#N/A
4656,3148,#N/A,#N/A
4657,#N/A,#N/A,#N/A
4661,#N/A,#N/A,#N/A
4672,4292,2182,#N/A
4675,#N/A,#N/A,#N/A
4684,813,#N/A,#N/A
4687,#N/A,#N/A,#N/A
4690,#N/A,#N/A,#N/A
4694,#N/A,#N/A,#N/A
4699,223,#N/A,#N/A
4700,#N/A,#N/A,#N/A
